product_id,store_name,state,zipcode,qty,sales,import_order,created_time
GL22BLKS1,LOWE'S OF W. SPRING, TX,TX,77379,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TOMBALL, TX,TX,77377,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N.W. HOUSTON, TX,TX,77070,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF THE WOODLANDS, TX,TX,77384,17,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CENTRAL OKLAHOMA CITY, OK,OK,73112,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. OKLAHOMA CITY, OK,OK,73139,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ENID, OK,OK,73703,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. OKLAHOMA CITY, OK,OK,73134,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SHAWNEE, OK,OK,74804,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PONCA CITY, OK,OK,74601,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MIDWEST, OK,OK,73110,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF STILLWATER, OK,OK,74075,13,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. EDMOND, OK,OK,73003,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF EDMOND, OK,OK,73034,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TULSA-MIDTOWN, OK,OK,74112,23,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MUSKOGEE, OK,OK,74403,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. TULSA, OK,OK,74133,14,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF OWASSO, OK,OK,74055,19,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TAHLEQUAH, OK,OK,74464,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CLAREMORE, OK,OK,74019,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BROKEN ARROW, OK,OK,74012,19,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BIXBY, OK,OK,74008,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. TULSA, OK,OK,74132,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BARTLESVILLE, OK,OK,74006,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. EUGENE, OR,OR,97402,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF REDDING, CA,CA,96002,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CHICO, CA,CA,95928,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROSEBURG, OR,OR,97470,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF KEIZER, OR,OR,97303,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF REDMOND, OR,OR,97756,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ALBANY - MILLERSBURG, OR,OR,97322,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SALEM, OR,OR,97302,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BEND, OR,OR,97701,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MEDFORD, OR,OR,97504,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GROVE, OK,OK,74344,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MONETT, MO,MO,65708,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROGERS, AR,AR,72756,19,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF REPUBLIC, MO,MO,65738,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. BENTONVILLE, AR,AR,72712,12,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SPRINGDALE, AR,AR,72762,12,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CARTHAGE, MO,MO,64836,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NEOSHO, MO,MO,64850,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF JOPLIN, MO,MO,64804,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SILOAM SPRINGS, AR,AR,72761,13,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ARANSAS PASS, TX,TX,78336,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NEW BRAUNFELS, TX,TX,78130,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF VICTORIA, TX,TX,77904,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S.E. SAN ANTONIO, TX,TX,78223,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SAN MARCOS, TX,TX,78666,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BASTROP, TX,TX,78602,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CORPUS CHRISTI, TX,TX,78412,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SCHERTZ, TX,TX,78154,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. ANCHORAGE, AK,AK,99515,123,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WASILLA, AK,AK,99654,230,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ANCHORAGE, AK,AK,99503,181,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N.E. ANCHORAGE, AK,AK,99504,61,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF FAIRBANKS, AK,AK,99701,205,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. PUEBLO, CO,CO,81005,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CENTRAL COLORADO SPRINGS, CO,CO,80909,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. COLORADO SPRINGS, CO,CO,80920,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CASTLE ROCK, CO,CO,80108,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. COLORADO SPRINGS, CO,CO,80918,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PARKER, CO,CO,80134,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. AURORA, CO,CO,80016,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF FOUNTAIN, CO,CO,80817,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PUEBLO, CO,CO,81008,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. COLORADO SPRINGS, CO,CO,80922,17,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N.W. CHARLESTON, SC,SC,29485,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF JAMES ISLAND, SC,SC,29412,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SUMMERVILLE, SC,SC,29483,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MT. PLEASANT, SC,SC,29464,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. ASHLEY, SC,SC,29414,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. CHARLESTON, SC,SC,29406,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. MT. PLEASANT, SC,SC,29466,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BEAUFORT, SC,SC,29906,15,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ORANGEBURG, SC,SC,29118,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GOOSE CREEK, SC,SC,29445,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. E. CHARLOTTE, NC,NC,28105,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. YORK COUNTY, SC,SC,29710,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CENTRAL CHARLOTTE, NC,NC,28203,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. LANCASTER, SC,SC,29707,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. CHARLOTTE, NC,NC,28277,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PINEVILLE, NC,NC,28226,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SW CHARLOTTE, NC,NC,28273,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF FORT MILL, SC,SC,29708,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROCK HILL, SC,SC,29730,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WAXHAW, NC,NC,28173,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NASHVILLE, TN,TN,37211,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF LEBANON, TN,TN,37087,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SMYRNA, TN,TN,37167,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GALLATIN, TN,TN,37066,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. NASHVILLE, TN,TN,37209,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HENDERSONVILLE, TN,TN,37075,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. NASHVILLE, TN,TN,37207,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HERMITAGE, TN,TN,37076,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MADISON, TN,TN,37115,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MT. JULIET, TN,TN,37122,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S.E. HUNTSVILLE, AL,AL,35763,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. HUNTSVILLE, AL,AL,35810,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CULLMAN, AL,AL,35055,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HARTSELLE, AL,AL,35640,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ATHENS, AL,AL,35611,10,0,1,2024-12-27 00:10:25
